Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Cruz County,2022,February,02/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,February,02/01/2022,90920000,State Government,N,8500
County,Santa Cruz County,2022,February,02/01/2022,0,Total Nonfarm,Y,100100
County,Santa Cruz County,2022,March,03/01/2022,90922000,State Government Excluding Education,N,600
County,Santa Cruz County,2022,March,03/01/2022,5000000,Total Private,N,78000
County,Santa Cruz County,2022,March,03/01/2022,6000000,Goods Producing,N,12500
County,Santa Cruz County,2022,March,03/01/2022,32000000,Nondurable Goods,N,3400
County,Santa Cruz County,2022,March,03/01/2022,42000000,Retail Trade,N,11200
County,Santa Cruz County,2022,March,03/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,March,03/01/2022,65000000,Educational and Health Services,N,17400
County,Santa Cruz County,2022,March,03/01/2022,70000000,Leisure and Hospitality,N,12300
County,Santa Cruz County,2022,March,03/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1700
County,Santa Cruz County,2022,March,03/01/2022,80000000,Other Services,N,4700
County,Santa Cruz County,2022,March,03/01/2022,90921611,State Government Education,N,7900
County,Santa Cruz County,2022,March,03/01/2022,90930000,Local Government,N,13300
County,Santa Cruz County,2022,March,03/01/2022,11000000,Total Farm,N,3300
County,Santa Cruz County,2022,March,03/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4900
County,Santa Cruz County,2022,March,03/01/2022,7000000,Service Providing,N,87800
County,Santa Cruz County,2022,March,03/01/2022,8000000,Private Service Providing,N,65500
County,Santa Cruz County,2022,March,03/01/2022,90932000,Local Government Excluding Education,N,5800
County,Santa Cruz County,2022,March,03/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,March,03/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,March,03/01/2022,60000000,Professional and Business Services,N,10700
County,Santa Cruz County,2022,March,03/01/2022,70720000,Accommodation and Food Service,N,10600
County,Santa Cruz County,2022,March,03/01/2022,1000000,Total Wage and Salary,N,103600
County,Santa Cruz County,2022,March,03/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,March,03/01/2022,40000000,"Trade, Transportation and Utilities",N,16500
County,Santa Cruz County,2022,March,03/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,March,03/01/2022,90000000,Government,N,22300
County,Santa Cruz County,2022,March,03/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,March,03/01/2022,90940000,State and Local Government,N,21800
County,Santa Cruz County,2022,March,03/01/2022,90920000,State Government,N,8500
County,Santa Cruz County,2022,March,03/01/2022,0,Total Nonfarm,N,100300
County,Santa Cruz County,2022,March,03/01/2022,30000000,Manufacturing,N,7600
County,Santa Cruz County,2022,March,03/01/2022,41000000,Wholesale Trade,N,3300
County,Santa Cruz County,2022,March,03/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,March,03/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,March,03/01/2022,0,Total Nonfarm,Y,100900
County,Santa Cruz County,2022,April,04/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,April,04/01/2022,65000000,Educational and Health Services,N,17500
County,Santa Cruz County,2022,April,04/01/2022,70000000,Leisure and Hospitality,N,12700
County,Santa Cruz County,2022,April,04/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1800
County,Santa Cruz County,2022,April,04/01/2022,80000000,Other Services,N,4700
County,Santa Cruz County,2022,April,04/01/2022,90921611,State Government Education,N,8000
County,Santa Cruz County,2022,April,04/01/2022,5000000,Total Private,N,78300
County,Santa Cruz County,2022,April,04/01/2022,6000000,Goods Producing,N,12500
County,Santa Cruz County,2022,April,04/01/2022,32000000,Nondurable Goods,N,3400
County,Santa Cruz County,2022,April,04/01/2022,42000000,Retail Trade,N,11000
County,Santa Cruz County,2022,April,04/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,April,04/01/2022,11000000,Total Farm,N,4700
County,Santa Cruz County,2022,April,04/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4900
County,Santa Cruz County,2022,April,04/01/2022,7000000,Service Providing,N,88300
County,Santa Cruz County,2022,April,04/01/2022,8000000,Private Service Providing,N,65800
County,Santa Cruz County,2022,April,04/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,April,04/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,April,04/01/2022,90932000,Local Government Excluding Education,N,5700
County,Santa Cruz County,2022,April,04/01/2022,90930000,Local Government,N,13300
County,Santa Cruz County,2022,April,04/01/2022,1000000,Total Wage and Salary,N,105500
County,Santa Cruz County,2022,April,04/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,April,04/01/2022,40000000,"Trade, Transportation and Utilities",N,16300
County,Santa Cruz County,2022,April,04/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,April,04/01/2022,60000000,Professional and Business Services,N,10700
County,Santa Cruz County,2022,April,04/01/2022,90000000,Government,N,22500
County,Santa Cruz County,2022,April,04/01/2022,70720000,Accommodation and Food Service,N,10900
County,Santa Cruz County,2022,April,04/01/2022,0,Total Nonfarm,N,100800
County,Santa Cruz County,2022,April,04/01/2022,30000000,Manufacturing,N,7600
County,Santa Cruz County,2022,April,04/01/2022,41000000,Wholesale Trade,N,3300
County,Santa Cruz County,2022,April,04/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,April,04/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,April,04/01/2022,90940000,State and Local Government,N,22000
County,Santa Cruz County,2022,April,04/01/2022,90920000,State Government,N,8700
County,Santa Cruz County,2022,April,04/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,April,04/01/2022,0,Total Nonfarm,Y,100500
County,Santa Cruz County,2022,May,05/01/2022,5000000,Total Private,N,78500
County,Santa Cruz County,2022,May,05/01/2022,6000000,Goods Producing,N,12500
County,Santa Cruz County,2022,May,05/01/2022,32000000,Nondurable Goods,N,3400
County,Santa Cruz County,2022,May,05/01/2022,42000000,Retail Trade,N,10900
County,Santa Cruz County,2022,May,05/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,May,05/01/2022,65000000,Educational and Health Services,N,17400
County,Santa Cruz County,2022,May,05/01/2022,70000000,Leisure and Hospitality,N,13000
County,Santa Cruz County,2022,May,05/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1900
County,Santa Cruz County,2022,May,05/01/2022,80000000,Other Services,N,4800
County,Santa Cruz County,2022,May,05/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,May,05/01/2022,90921611,State Government Education,N,8000
County,Santa Cruz County,2022,May,05/01/2022,11000000,Total Farm,N,7200
County,Santa Cruz County,2022,May,05/01/2022,15000000,"Natural Resources, Mining and Constructi",N,4900
County,Santa Cruz County,2022,May,05/01/2022,7000000,Service Providing,N,88800
County,Santa Cruz County,2022,May,05/01/2022,8000000,Private Service Providing,N,66000
County,Santa Cruz County,2022,May,05/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,May,05/01/2022,90932000,Local Government Excluding Education,N,5900
County,Santa Cruz County,2022,May,05/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,May,05/01/2022,90930000,Local Government,N,13600
County,Santa Cruz County,2022,May,05/01/2022,60000000,Professional and Business Services,N,10700
County,Santa Cruz County,2022,May,05/01/2022,70720000,Accommodation and Food Service,N,11100
County,Santa Cruz County,2022,May,05/01/2022,1000000,Total Wage and Salary,N,108500
County,Santa Cruz County,2022,May,05/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,May,05/01/2022,40000000,"Trade, Transportation and Utilities",N,16200
County,Santa Cruz County,2022,May,05/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,May,05/01/2022,90000000,Government,N,22800
County,Santa Cruz County,2022,May,05/01/2022,0,Total Nonfarm,N,101300
County,Santa Cruz County,2022,May,05/01/2022,30000000,Manufacturing,N,7600
County,Santa Cruz County,2022,May,05/01/2022,41000000,Wholesale Trade,N,3300
County,Santa Cruz County,2022,May,05/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,May,05/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,May,05/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,May,05/01/2022,90940000,State and Local Government,N,22300
County,Santa Cruz County,2022,May,05/01/2022,90920000,State Government,N,8700
County,Santa Cruz County,2022,May,05/01/2022,0,Total Nonfarm,Y,100300
County,Santa Cruz County,2022,June,06/01/2022,65000000,Educational and Health Services,N,17300
County,Santa Cruz County,2022,June,06/01/2022,5000000,Total Private,N,79500
County,Santa Cruz County,2022,June,06/01/2022,6000000,Goods Producing,N,12800
County,Santa Cruz County,2022,June,06/01/2022,32000000,Nondurable Goods,N,3500
County,Santa Cruz County,2022,June,06/01/2022,42000000,Retail Trade,N,11000
County,Santa Cruz County,2022,June,06/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,June,06/01/2022,70000000,Leisure and Hospitality,N,13500
County,Santa Cruz County,2022,June,06/01/2022,70710000,"Arts, Entertainment, and Recreation",N,2000
County,Santa Cruz County,2022,June,06/01/2022,80000000,Other Services,N,4800
County,Santa Cruz County,2022,June,06/01/2022,90921611,State Government Education,N,8200
County,Santa Cruz County,2022,June,06/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,June,06/01/2022,11000000,Total Farm,N,9500
County,Santa Cruz County,2022,June,06/01/2022,15000000,"Natural Resources, Mining and Constructi",N,5100
County,Santa Cruz County,2022,June,06/01/2022,90932000,Local Government Excluding Education,N,6000
County,Santa Cruz County,2022,June,06/01/2022,7000000,Service Providing,N,89400
County,Santa Cruz County,2022,June,06/01/2022,8000000,Private Service Providing,N,66700
County,Santa Cruz County,2022,June,06/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,June,06/01/2022,90930000,Local Government,N,13300
County,Santa Cruz County,2022,June,06/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,June,06/01/2022,1000000,Total Wage and Salary,N,111700
County,Santa Cruz County,2022,June,06/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,June,06/01/2022,60000000,Professional and Business Services,N,10800
County,Santa Cruz County,2022,June,06/01/2022,40000000,"Trade, Transportation and Utilities",N,16400
County,Santa Cruz County,2022,June,06/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,June,06/01/2022,70720000,Accommodation and Food Service,N,11500
County,Santa Cruz County,2022,June,06/01/2022,90000000,Government,N,22700
County,Santa Cruz County,2022,June,06/01/2022,90940000,State and Local Government,N,22200
County,Santa Cruz County,2022,June,06/01/2022,90920000,State Government,N,8900
County,Santa Cruz County,2022,June,06/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,June,06/01/2022,30000000,Manufacturing,N,7700
County,Santa Cruz County,2022,June,06/01/2022,41000000,Wholesale Trade,N,3400
County,Santa Cruz County,2022,June,06/01/2022,0,Total Nonfarm,N,102200
County,Santa Cruz County,2022,June,06/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,June,06/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,June,06/01/2022,0,Total Nonfarm,Y,100000
County,Santa Cruz County,2022,July,07/01/2022,5000000,Total Private,N,80100
County,Santa Cruz County,2022,July,07/01/2022,6000000,Goods Producing,N,12800
County,Santa Cruz County,2022,July,07/01/2022,32000000,Nondurable Goods,N,3500
County,Santa Cruz County,2022,July,07/01/2022,42000000,Retail Trade,N,11000
County,Santa Cruz County,2022,July,07/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,July,07/01/2022,65000000,Educational and Health Services,N,17600
County,Santa Cruz County,2022,July,07/01/2022,70000000,Leisure and Hospitality,N,13800
County,Santa Cruz County,2022,July,07/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,July,07/01/2022,70710000,"Arts, Entertainment, and Recreation",N,2100
County,Santa Cruz County,2022,July,07/01/2022,80000000,Other Services,N,4800
County,Santa Cruz County,2022,July,07/01/2022,90921611,State Government Education,N,7700
County,Santa Cruz County,2022,July,07/01/2022,7000000,Service Providing,N,88700
County,Santa Cruz County,2022,July,07/01/2022,8000000,Private Service Providing,N,67300
County,Santa Cruz County,2022,July,07/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,July,07/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,July,07/01/2022,90932000,Local Government Excluding Education,N,6000
County,Santa Cruz County,2022,July,07/01/2022,90930000,Local Government,N,12500
County,Santa Cruz County,2022,July,07/01/2022,11000000,Total Farm,N,10000
County,Santa Cruz County,2022,July,07/01/2022,15000000,"Natural Resources, Mining and Constructi",N,5100
County,Santa Cruz County,2022,July,07/01/2022,1000000,Total Wage and Salary,N,111500
County,Santa Cruz County,2022,July,07/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,July,07/01/2022,40000000,"Trade, Transportation and Utilities",N,16400
County,Santa Cruz County,2022,July,07/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,July,07/01/2022,60000000,Professional and Business Services,N,10800
County,Santa Cruz County,2022,July,07/01/2022,90000000,Government,N,21400
County,Santa Cruz County,2022,July,07/01/2022,70720000,Accommodation and Food Service,N,11700
County,Santa Cruz County,2022,July,07/01/2022,0,Total Nonfarm,N,101500
County,Santa Cruz County,2022,July,07/01/2022,30000000,Manufacturing,N,7700
County,Santa Cruz County,2022,July,07/01/2022,41000000,Wholesale Trade,N,3400
County,Santa Cruz County,2022,July,07/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,July,07/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,July,07/01/2022,90940000,State and Local Government,N,20900
County,Santa Cruz County,2022,July,07/01/2022,90920000,State Government,N,8400
County,Santa Cruz County,2022,July,07/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,July,07/01/2022,0,Total Nonfarm,Y,101700
County,Santa Cruz County,2022,August,08/01/2022,90921611,State Government Education,N,7600
County,Santa Cruz County,2022,August,08/01/2022,70710000,"Arts, Entertainment, and Recreation",N,2000
County,Santa Cruz County,2022,August,08/01/2022,80000000,Other Services,N,4800
County,Santa Cruz County,2022,August,08/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,August,08/01/2022,5000000,Total Private,N,79900
County,Santa Cruz County,2022,August,08/01/2022,6000000,Goods Producing,N,12800
County,Santa Cruz County,2022,August,08/01/2022,32000000,Nondurable Goods,N,3500
County,Santa Cruz County,2022,August,08/01/2022,42000000,Retail Trade,N,11000
County,Santa Cruz County,2022,August,08/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,August,08/01/2022,65000000,Educational and Health Services,N,17500
County,Santa Cruz County,2022,August,08/01/2022,70000000,Leisure and Hospitality,N,13700
County,Santa Cruz County,2022,August,08/01/2022,90930000,Local Government,N,13400
County,Santa Cruz County,2022,August,08/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,August,08/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,August,08/01/2022,11000000,Total Farm,N,9900
County,Santa Cruz County,2022,August,08/01/2022,15000000,"Natural Resources, Mining and Constructi",N,5100
County,Santa Cruz County,2022,August,08/01/2022,7000000,Service Providing,N,89300
County,Santa Cruz County,2022,August,08/01/2022,8000000,Private Service Providing,N,67100
County,Santa Cruz County,2022,August,08/01/2022,90932000,Local Government Excluding Education,N,6000
County,Santa Cruz County,2022,August,08/01/2022,1000000,Total Wage and Salary,N,112000
County,Santa Cruz County,2022,August,08/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,August,08/01/2022,40000000,"Trade, Transportation and Utilities",N,16400
County,Santa Cruz County,2022,August,08/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,August,08/01/2022,60000000,Professional and Business Services,N,10800
County,Santa Cruz County,2022,August,08/01/2022,70720000,Accommodation and Food Service,N,11700
County,Santa Cruz County,2022,August,08/01/2022,90000000,Government,N,22200
County,Santa Cruz County,2022,August,08/01/2022,30000000,Manufacturing,N,7700
County,Santa Cruz County,2022,August,08/01/2022,41000000,Wholesale Trade,N,3400
County,Santa Cruz County,2022,August,08/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,August,08/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,August,08/01/2022,0,Total Nonfarm,N,102100
County,Santa Cruz County,2022,August,08/01/2022,0,Total Nonfarm,Y,102100
County,Santa Cruz County,2022,August,08/01/2022,90920000,State Government,N,8300
County,Santa Cruz County,2022,August,08/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,August,08/01/2022,90940000,State and Local Government,N,21700
County,Santa Cruz County,2022,September,09/01/2022,5000000,Total Private,N,79200
County,Santa Cruz County,2022,September,09/01/2022,6000000,Goods Producing,N,12800
County,Santa Cruz County,2022,September,09/01/2022,32000000,Nondurable Goods,N,3500
County,Santa Cruz County,2022,September,09/01/2022,42000000,Retail Trade,N,11100
County,Santa Cruz County,2022,September,09/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,September,09/01/2022,65000000,Educational and Health Services,N,17600
County,Santa Cruz County,2022,September,09/01/2022,70000000,Leisure and Hospitality,N,12800
County,Santa Cruz County,2022,September,09/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1700
County,Santa Cruz County,2022,September,09/01/2022,80000000,Other Services,N,4800
County,Santa Cruz County,2022,September,09/01/2022,90921611,State Government Education,N,7400
County,Santa Cruz County,2022,September,09/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,September,09/01/2022,11000000,Total Farm,N,9800
County,Santa Cruz County,2022,September,09/01/2022,15000000,"Natural Resources, Mining and Constructi",N,5100
County,Santa Cruz County,2022,September,09/01/2022,7000000,Service Providing,N,88700
County,Santa Cruz County,2022,September,09/01/2022,8000000,Private Service Providing,N,66400
County,Santa Cruz County,2022,September,09/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,September,09/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,September,09/01/2022,90930000,Local Government,N,13700
County,Santa Cruz County,2022,September,09/01/2022,90932000,Local Government Excluding Education,N,6100
County,Santa Cruz County,2022,September,09/01/2022,1000000,Total Wage and Salary,N,111300
County,Santa Cruz County,2022,September,09/01/2022,31000000,Durable Goods,N,4200
County,Santa Cruz County,2022,September,09/01/2022,40000000,"Trade, Transportation and Utilities",N,16500
