Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Cruz County,2022,September,09/01/2022,55530000,Real Estate and Rental and Leasing,N,1400
County,Santa Cruz County,2022,September,09/01/2022,60000000,Professional and Business Services,N,10800
County,Santa Cruz County,2022,September,09/01/2022,70720000,Accommodation and Food Service,N,11100
County,Santa Cruz County,2022,September,09/01/2022,90000000,Government,N,22300
County,Santa Cruz County,2022,September,09/01/2022,0,Total Nonfarm,Y,102100
County,Santa Cruz County,2022,September,09/01/2022,41000000,Wholesale Trade,N,3400
County,Santa Cruz County,2022,September,09/01/2022,43000000,"Transportation, Warehousing and Utilitie",N,2000
County,Santa Cruz County,2022,September,09/01/2022,55520000,Finance and Insurance,N,1900
County,Santa Cruz County,2022,September,09/01/2022,90940000,State and Local Government,N,21800
County,Santa Cruz County,2022,September,09/01/2022,90920000,State Government,N,8100
County,Santa Cruz County,2022,September,09/01/2022,90932994,Special Districts plus Indian Tribes,N,1100
County,Santa Cruz County,2022,September,09/01/2022,0,Total Nonfarm,N,101500
County,Santa Cruz County,2022,September,09/01/2022,30000000,Manufacturing,N,7700
County,Santa Cruz County,2022,October,10/01/2022,50000000,Information,N,600
County,Santa Cruz County,2022,October,10/01/2022,90922000,State Government Excluding Education,N,700
County,Santa Cruz County,2022,October,10/01/2022,90921611,State Government Education,N,8200
County,Santa Cruz County,2022,October,10/01/2022,70710000,"Arts, Entertainment, and Recreation",N,1700
County,Santa Cruz County,2022,October,10/01/2022,80000000,Other Services,N,4800
County,Santa Cruz County,2022,October,10/01/2022,42000000,Retail Trade,N,11200
County,Santa Cruz County,2022,October,10/01/2022,65000000,Educational and Health Services,N,17800
County,Santa Cruz County,2022,October,10/01/2022,70000000,Leisure and Hospitality,N,12900
County,Santa Cruz County,2022,October,10/01/2022,6000000,Goods Producing,N,12800
County,Santa Cruz County,2022,October,10/01/2022,32000000,Nondurable Goods,N,3500
County,Santa Cruz County,2022,October,10/01/2022,5000000,Total Private,N,79700
County,Santa Cruz County,2022,October,10/01/2022,90932000,Local Government Excluding Education,N,5900
County,Santa Cruz County,2022,October,10/01/2022,90930000,Local Government,N,13800
County,Santa Cruz County,2022,October,10/01/2022,55000000,Financial Activities,N,3300
County,Santa Cruz County,2022,October,10/01/2022,90910000,Federal Government,N,500
County,Santa Cruz County,2022,October,10/01/2022,11000000,Total Farm,N,8600
County,Santa Cruz County,2022,October,10/01/2022,15000000,"Natural Resources, Mining and Constructi",N,5100
County,Santa Cruz County,2022,October,10/01/2022,7000000,Service Providing,N,90100
County,Santa Cruz County,2022,October,10/01/2022,8000000,Private Service Providing,N,66900
County,Santa Cruz County,2022,October,10/01/2022,90000000,Government,N,23200
County,Santa Cruz County,2022,October,10/01/2022,70720000,Accommodation and Food Service,N,11200
County,Santa Cruz County,2022,October,10/01/2022,31000000,Durable Goods,N,4200
