Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,San Benito County,2021,December,12/01/2021,65610000,Educational Services,N,100
County,San Benito County,2021,December,12/01/2021,40000000,"Trade, Transportation and Utilities",N,2500
County,San Benito County,2021,December,12/01/2021,20000000,Construction,N,1600
County,San Benito County,2021,December,12/01/2021,1000000,Total Wage and Salary,N,17900
County,San Benito County,2021,December,12/01/2021,90000000,Government,N,3200
County,San Benito County,2021,December,12/01/2021,55530000,Real Estate and Rental and Leasing,N,200
County,San Benito County,2021,December,12/01/2021,60000000,Professional and Business Services,N,1600
County,San Benito County,2021,December,12/01/2021,60540000,"Professional, Scientific and Technical S",N,300
County,San Benito County,2021,December,12/01/2021,41000000,Wholesale Trade,N,400
County,San Benito County,2021,December,12/01/2021,60550000,Management of Companies and Enterprises,N,0
County,San Benito County,2021,December,12/01/2021,30000000,Manufacturing,N,3000
County,San Benito County,2021,December,12/01/2021,10000000,Mining and Logging,N,0
