Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Clara County,2021,March,03/01/2021,60560000,Administrative and Support and Waste Ser,N,59000
County,Santa Clara County,2021,March,03/01/2021,65000000,Educational and Health Services,N,174600
County,Santa Clara County,2021,March,03/01/2021,90910000,Federal Government,N,10300
County,Santa Clara County,2021,March,03/01/2021,90930000,Local Government,N,72400
County,Santa Clara County,2021,March,03/01/2021,55000000,Financial Activities,N,37800
County,Santa Clara County,2021,March,03/01/2021,7000000,Service Providing,N,847500
County,Santa Clara County,2021,March,03/01/2021,11000000,Total Farm,N,2900
County,Santa Clara County,2021,March,03/01/2021,40000000,"Trade, Transportation and Utilities",N,115800
County,Santa Clara County,2021,March,03/01/2021,90000000,Government,N,89200
County,Santa Clara County,2021,March,03/01/2021,65610000,Educational Services,N,43800
County,Santa Clara County,2021,March,03/01/2021,60540000,"Professional, Scientific and Technical S",N,164300
County,Santa Clara County,2021,March,03/01/2021,55530000,Real Estate and Rental and Leasing,N,14600
County,Santa Clara County,2021,March,03/01/2021,60000000,Professional and Business Services,N,238000
County,Santa Clara County,2021,March,03/01/2021,31000000,Durable Goods,N,154200
County,Santa Clara County,2021,March,03/01/2021,20000000,Construction,N,49500
County,Santa Clara County,2021,March,03/01/2021,1000000,Total Wage and Salary,N,1064400
County,Santa Clara County,2021,March,03/01/2021,0,Total Nonfarm,N,1061500
County,Santa Clara County,2021,March,03/01/2021,30000000,Manufacturing,N,164400
County,Santa Clara County,2021,March,03/01/2021,10000000,Mining and Logging,N,100
County,Santa Clara County,2021,March,03/01/2021,41000000,Wholesale Trade,N,27800
County,Santa Clara County,2021,March,03/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,15900
County,Santa Clara County,2021,March,03/01/2021,55520000,Finance and Insurance,N,23200
County,Santa Clara County,2021,March,03/01/2021,60550000,Management of Companies and Enterprises,N,14700
County,Santa Clara County,2021,March,03/01/2021,90920000,State Government,N,6500
County,Santa Clara County,2021,April,04/01/2021,80000000,Other Services,N,21700
County,Santa Clara County,2021,April,04/01/2021,6000000,Goods Producing,N,214200
County,Santa Clara County,2021,April,04/01/2021,32000000,Nondurable Goods,N,10400
County,Santa Clara County,2021,April,04/01/2021,42000000,Retail Trade,N,71900
County,Santa Clara County,2021,April,04/01/2021,50000000,Information,N,105000
County,Santa Clara County,2021,April,04/01/2021,70000000,Leisure and Hospitality,N,72400
County,Santa Clara County,2021,April,04/01/2021,65000000,Educational and Health Services,N,176200
County,Santa Clara County,2021,April,04/01/2021,60560000,Administrative and Support and Waste Ser,N,59300
County,Santa Clara County,2021,April,04/01/2021,65620000,Health Care and Social Assistance,N,132000
County,Santa Clara County,2021,April,04/01/2021,90910000,Federal Government,N,10400
County,Santa Clara County,2021,April,04/01/2021,90930000,Local Government,N,73100
County,Santa Clara County,2021,April,04/01/2021,7000000,Service Providing,N,857300
County,Santa Clara County,2021,April,04/01/2021,55000000,Financial Activities,N,38000
County,Santa Clara County,2021,April,04/01/2021,11000000,Total Farm,N,3000
County,Santa Clara County,2021,April,04/01/2021,40000000,"Trade, Transportation and Utilities",N,115100
County,Santa Clara County,2021,April,04/01/2021,90000000,Government,N,90300
